,GaiaEDR3,RAdeg,e_RAdeg,DEdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,RFG,BPmag,RFBP,RPmag,RFRP,E(BP/RP),RUWE,IPDfmp,RV,e_RV,r_RV,f_RV,GCNSprob,WDprob,Dist1,Dist16,Dist50,Dist84,xcoord50,xcoord16,xcoord84,ycoord50,ycoord16,ycoord84,zcoord50,zcoord16,zcoord84,Uvel50,Uvel16,Uvel84,Vvel50,Vvel16,Vvel84,Wvel50,Wvel16,Wvel84,GUNN,r_GUNN,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
279,5508514570390830336,107.6977201,0.0707,-48.9312192,0.07406,9.927,0.07258,-18.453,0.09289,197.529,0.09271,4.7137,1243.05,5.3678,962.65,3.9405,365.57,1.255,1.06,0,64.309,0.1448,b'2018A&A...616A...1G',b'T',1.0,0.025,0.09908,0.10007,0.10077,0.10148,-17.22398,-17.10406,-17.34487,-94.74722,-94.08758,-95.41224,-29.67222,-29.46564,-29.88049,-101.795,-102.527,-101.11,-52.032,-52.185,-51.881,6.852,6.648,7.082,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07104748-4855556',3.024,0.244,2.381,0.216,2.189,0.23,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,5509770796785820416,108.1392237,0.09243,-46.7588271,0.11728,46.903,0.11853,-135.806,0.1172,107.433,0.13861,4.383,915.25,4.5711,564.06,4.0772,185.34,1.1677,0.98,0,0.1,0.5,b'2006AstL...32..759G',b'F',1.0,0.059,0.02119,0.02127,0.02132,0.02137,-4.35917,-4.3482,-4.36959,-20.02252,-19.97216,-20.07041,-5.88582,-5.87102,-5.8999,-14.509,-14.613,-14.407,5.374,4.963,5.831,-8.17,-8.3,-8.033,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07123363-4645337',3.5,0.202,3.298,0.196,3.32,0.206,b'J071233.41-464532.8',10.729,0.12,5.992,0.031,3.643,0.015,3.553,0.023
281,5511635499783885440,108.3054688,0.07523,-45.183126,0.06583,17.362,0.07684,-25.166,0.09417,-87.38,0.07948,4.8553,994.06,4.8525,747.34,4.8524,347.73,1.1491,1.02,0,4.3,2.0,b'1953GCRV..C......0W',b'F',1.0,0.038,0.05702,0.05737,0.0576,0.05785,-13.19722,-13.14414,-13.25389,-53.96735,-53.75027,-54.19908,-15.20189,-15.14074,-15.26716,18.637,18.231,19.08,-4.617,-6.229,-2.77,-16.321,-16.793,-15.812,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07131335-4510578',5.02,0.26,4.949,0.017,4.874,0.026,b' ',0.0,0.0,0.0,0.0,4.952,0.013,4.891,0.027
282,990705816813310336,108.9778827,0.05539,59.6363182,0.05925,16.596,0.09421,-100.375,0.0765,-258.353,0.0626,4.8959,1308.71,5.443,1096.77,4.209,610.18,1.2306,0.89,0,23.989,0.1312,b'2018A&A...616A...1G',b'T',1.0,0.028,0.05942,0.05989,0.06023,0.06058,-49.74423,-49.4655,-50.03833,21.11904,21.00071,21.2439,26.58298,26.43403,26.74014,-62.854,-63.132,-62.555,-47.209,-47.535,-46.887,-25.749,-25.97,-25.519,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07155492+5938150',3.452,0.246,2.853,0.262,2.702,0.274,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,3168265196643846400,109.5230315,0.19045,16.540226,0.18552,32.607,0.20623,-46.157,0.19945,-36.007,0.18348,3.5799,437.67,3.6849,49.4,3.4397,318.35,1.1374,1.73,0,-7.4,0.9,b'2006AstL...32..759G',b'F',1.0,0.033,0.03022,0.03048,0.03067,0.03086,-27.89106,-27.72016,-28.06428,-10.65994,-10.59462,-10.72614,7.01827,6.97527,7.06185,5.632,4.888,6.49,0.069,-0.211,0.405,-9.756,-9.976,-9.573,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07180560+1632255',3.54,0.33,3.495,0.284,3.535,0.262,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,866177431955478144,110.0305945,0.18998,21.9822387,0.20599,53.769,0.24028,-27.722,0.1825,-14.702,0.15747,3.4571,552.42,3.6935,90.42,3.1302,266.08,1.1522,2.61,0,4.1,2.0,b'1979IAUS...30...57E',b'F',1.0,0.058,0.01842,0.01852,0.0186,0.01869,-17.20151,-17.12108,-17.27834,-4.92756,-4.90452,-4.94957,5.09198,5.06817,5.11472,-4.486,-6.268,-2.555,-1.516,-2.03,-0.963,-1.519,-2.085,-0.985,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07200736+2158561',2.821,0.294,13.395,0.0,2.555,0.394,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,898059352148520960,110.5103682,0.08594,36.7604826,0.09132,12.645,0.10088,-97.064,0.09971,-22.733,0.09122,4.7952,1292.88,5.3644,857.72,4.0864,300.95,1.2378,0.99,0,22.135,0.1648,b'2018A&A...616A...1G',b'T',1.0,0.005,0.07769,0.07854,0.07916,0.07978,-73.5868,-73.00962,-74.15875,-2.01332,-1.99752,-2.02896,29.11816,28.88978,29.34448,-34.35,-34.533,-34.166,2.496,2.449,2.542,-26.441,-26.76,-26.146,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07220263+3645382',3.242,0.282,2.551,0.244,2.465,0.304,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,870205595882108800,110.86847,0.13085,25.050402,0.14594,18.177,0.18675,-66.676,0.13313,-29.082,0.10198,4.781,1090.15,5.2455,972.68,4.1707,433.67,1.2112,0.86,0,5.464,0.165,b'2018A&A...616A...1G',b'T',1.0,0.0,0.05377,0.05448,0.05502,0.05556,-50.9751,-50.47763,-51.47897,-12.0887,-11.97073,-12.2082,16.80275,16.63877,16.96884,-10.612,-10.778,-10.45,-2.964,-3.014,-2.914,-16.391,-16.588,-16.216,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07232854+2503021',2.981,0.222,2.606,0.188,2.4,0.224,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,873035017257455104,111.4310352,0.1495,27.7977013,0.13473,24.02,0.18733,-122.06,0.1814,-85.133,0.13129,3.5065,644.05,4.0764,79.2,2.837,204.98,1.2089,2.56,0,7.432,0.0009,b'2018A&A...616A...7S',b'F',1.0,0.003,0.04095,0.04134,0.04165,0.04197,-38.61658,-38.32746,-38.90664,-7.39897,-7.34357,-7.45455,13.74475,13.64184,13.84799,-14.832,-14.895,-14.774,-9.924,-9.99,-9.853,-24.496,-24.7,-24.296,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07254359+2747529',2.195,0.3,1.658,0.218,1.562,0.178,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,976842521375217280,111.6784816,0.10819,49.2113103,0.10376,11.902,0.13824,-10.185,0.12622,-48.768,0.10603,4.5871,835.18,4.5938,992.87,4.5815,315.23,1.1439,1.04,0,26.8,0.1,b'2006AstL...32..759G',b'F',1.0,0.005,0.08197,0.08317,0.0841,0.0851,-74.28852,-73.46903,-75.16907,14.82551,14.66197,15.00124,36.53165,36.12866,36.96467,-30.702,-30.827,-30.579,-12.333,-12.537,-12.156,4.288,4.189,4.385,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'07264284+4912417',4.695,0.234,4.693,0.033,4.572,0.016,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
